stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\source\repos\Kursach\Corovans\Display\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.33664] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33677] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33684] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33691] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33705] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33713] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33719] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33727] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33733] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33740] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33747] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33754] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33760] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33768] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33775] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33783] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33789] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33797] Single Buffer requirement not met.
